id,label,pred
26977,0,0
26978,1,1
26979,0,1
26980,0,0
26981,0,0
26982,0,2
26983,0,1
26984,2,2
26985,0,0
26986,0,0
26987,0,0
26988,1,1
26989,1,1
26990,0,1
26991,1,2
26992,2,1
26993,0,0
26994,1,0
26995,0,1
26996,1,1
26997,0,0
26998,1,1
26999,1,1
27000,1,2
27001,2,2
27002,1,0
27003,0,0
27004,1,1
27005,0,0
27006,1,1
27007,1,1
27008,1,1
27009,0,1
27010,2,1
27011,0,0
27012,1,0
27013,0,0
27014,0,0
27015,1,1
27016,0,1
27017,1,0
27018,0,0
27019,0,0
27020,1,1
27021,0,0
27022,0,0
27023,1,1
27024,0,0
27025,2,1
27026,1,1
27027,0,1
27028,1,1
27029,1,2
27030,0,0
27031,1,2
27032,0,1
27033,1,1
27034,1,2
27035,1,0
27036,0,0
27037,1,1
27038,1,0
27039,2,2
27040,0,0
27041,1,1
27042,0,0
27043,0,0
27044,1,1
27045,0,1
27046,1,1
27047,1,1
27048,0,0
27049,0,0
27050,1,0
27051,2,2
27052,1,1
27053,0,0
27054,0,1
27055,0,1
27056,1,1
27057,0,0
27058,1,1
27059,1,1
27060,1,1
27061,2,1
27062,0,0
27063,1,1
27064,0,0
27065,0,0
27066,0,2
27067,1,1
27068,1,1
27069,1,0
27070,1,1
27071,0,0
27072,1,0
27073,2,2
27074,1,2
27075,1,2
27076,1,1
27077,1,1
27078,1,1
27079,1,1
27080,1,1
27081,1,0
27082,0,2
27083,0,1
27084,0,2
27085,1,1
27086,0,0
27087,1,1
27088,0,0
27089,0,1
27090,0,2
27091,1,2
27092,0,2
27093,1,1
27094,1,1
27095,1,2
27096,1,1
27097,0,1
27098,1,1
27099,1,1
27100,1,1
27101,0,0
27102,0,0
27103,0,0
27104,1,1
27105,2,2
27106,1,0
27107,1,1
27108,0,0
27109,2,1
27110,0,0
27111,1,0
27112,1,1
27113,2,1
27114,1,1
27115,1,0
27116,2,1
27117,1,1
27118,0,1
27119,0,0
27120,2,1
27121,1,0
27122,2,1
27123,1,2
27124,1,1
27125,1,1
27126,1,0
27127,0,0
27128,0,0
27129,0,2
27130,0,0
27131,1,0
27132,1,1
27133,1,1
27134,1,1
27135,0,0
27136,1,1
27137,1,1
27138,1,0
27139,0,1
27140,0,0
27141,0,0
27142,0,1
27143,1,2
27144,1,1
27145,0,0
27146,1,1
27147,0,0
27148,1,1
27149,1,1
27150,0,2
27151,2,0
27152,2,2
27153,0,2
27154,2,2
27155,0,1
27156,1,0
27157,0,2
27158,1,0
27159,1,1
27160,1,2
27161,0,1
27162,1,1
27163,2,1
27164,1,1
27165,1,2
27166,0,0
27167,1,2
27168,0,0
27169,1,2
27170,0,0
27171,2,2
27172,2,2
27173,0,0
27174,2,1
27175,2,1
27176,2,1
27177,0,2
27178,0,0
27179,1,1
27180,0,1
27181,0,0
27182,0,0
27183,0,1
27184,1,1
27185,1,1
27186,0,0
27187,0,0
27188,0,1
27189,0,0
27190,0,1
27191,0,1
27192,2,2
27193,0,1
27194,1,0
27195,1,1
27196,1,1
27197,0,1
27198,1,1
27199,0,0
27200,0,0
27201,1,2
27202,0,0
27203,1,1
27204,1,0
27205,1,0
27206,0,2
27207,0,0
27208,0,0
27209,0,0
27210,0,0
27211,0,0
27212,0,0
27213,0,1
27214,1,2
27215,1,1
27216,2,2
27217,0,1
27218,1,2
27219,1,1
27220,2,0
27221,0,0
27222,1,1
27223,1,2
27224,1,0
27225,0,0
27226,1,2
27227,1,0
27228,2,2
27229,1,1
27230,1,1
27231,1,0
27232,1,1
27233,1,1
27234,1,1
27235,2,2
27236,0,0
27237,0,1
27238,0,1
27239,0,0
27240,1,1
