index,answer
1,1 454 798
2,2 457 344
3,690 471 3
4,149 902 477
5,5 810 573
6,6 584 164
7,329 787 56
8,8 924 141
9,9 574 904
10,10 966 338
11,438 11 396
12,12 966 338
13,77 433 862
14,14 842 823
15,15 713 399
16,16 586 739
17,17 301 938
18,619 18 420
19,19 715 142
20,79 20 905
21,21 943 486
22,22 139 274
23,23 107 169
24,24 341 435
25,25 713 870
26,26 566 665
27,970 406 27
28,293 862 28
29,29 570 282
30,30 628 132
31,31 564 996
32,906 32 153
33,33 330 185
34,683 382 197
35,35 650 323
36,36 88 618
37,926 204 37
38,406 128 24
39,39 614 581
40,40 957 984
41,340 975 41
42,42 226 790
43,43 308 85
44,44 347 431
45,45 502 510
46,110 46 247
47,683 543 382
48,48 313 310
49,49 876 302
50,50 639 811
51,51 455 760
52,52 957 264
53,612 377 633
54,22 405 93
55,55 628 132
56,56 787 329
57,57 439 442
58,58 396 219
59,59 843 290
60,60 749 689
61,61 915 752
62,62 349 462
63,63 436 309
64,64 39 613
65,444 333 917
66,66 358 593
67,411 800 67
68,68 423 901
69,69 915 85
70,70 178 689
71,586 320 739
72,72 330 544
73,73 836 612
74,74 213 677
75,700 75 409
76,76 594 749
77,77 989 72
78,421 175 455
79,79 905 20
80,107 834 23
81,68 946 939
82,82 414 676
83,83 236 213
84,84 806 519
85,406 85 24
86,86 482 692
87,87 486 249
88,812 451 557
89,89 237 246
90,90 895 272
91,91 969 213
92,92 612 162
93,93 793 745
94,94 119 777
95,432 95 219
96,96 408 501
97,97 966 338
98,697 675 730
99,99 430 913
100,100 171 641
101,682 966 931
102,908 353 447
103,958 911 444
104,104 894 162
105,105 88 697
106,106 758 838
107,107 23 169
108,723 935 721
109,109 606 765
110,846 110 661
111,111 539 359
112,112 433 789
113,113 364 411
114,114 707 330
115,110 247 46
116,116 257 590
117,117 332 90
118,118 657 628
119,119 777 59
120,228 120 386
121,121 398 348
122,122 943 475
123,51 455 760
124,124 184 711
125,456 125 898
126,425 126 940
127,409 127 4
128,128 663 107
129,363 129 862
130,683 194 382
131,366 952 122
132,140 132 264
133,133 625 859
134,134 907 529
135,135 669 862
136,943 136 577
137,137 399 165
138,82 420 325
139,139 274 467
140,140 267 132
141,859 640 133
142,142 19 177
143,965 64 343
144,144 313 274
145,958 763 433
146,146 212 720
147,147 221 650
148,148 814 749
149,149 477 780
150,150 510 675
151,683 543 809
152,152 431 565
153,32 906 153
154,154 626 349
155,308 228 584
156,907 156 529
157,506 157 447
158,158 801 655
159,533 646 808
160,160 181 642
161,161 827 405
162,162 623 351
163,163 58 393
164,164 6 751
165,288 205 477
166,166 714 268
167,495 167 642
168,815 168 894
169,169 353 827
170,170 711 150
171,299 441 219
172,172 921 458
173,173 602 986
174,221 263 700
175,175 356 421
176,32 906 176
177,177 956 713
178,178 119 451
179,179 553 904
180,180 602 943
181,181 160 642
182,182 183 904
183,183 498 90
184,503 758 566
185,185 958 330
186,977 421 104
187,187 768 433
188,838 692 164
189,189 382 862
190,421 104 175
191,191 436 236
192,192 394 409
193,193 912 263
194,194 251 625
195,195 758 597
196,779 196 981
197,197 658 130
198,366 198 389
199,199 663 666
200,200 264 249
