index,answer
1,1 454 798
2,2 457 344
3,690 3 471
4,149 477 542
5,5 810 10
6,6 164 584
7,329 787 56
8,8 924 899
9,9 574 904
10,10 966 338
11,438 11 396
12,12 966 338
13,77 943 13
14,14 823 842
15,15 713 399
16,16 586 739
17,17 301 938
18,619 18 420
19,19 715 142
20,79 20 905
21,21 943 486
22,22 139 274
23,23 107 437
24,24 341 433
25,25 713 324
26,26 561 566
27,970 27 406
28,293 862 28
29,29 570 282
30,30 132 628
31,31 564 996
32,906 32 153
33,33 330 185
34,683 197 543
35,35 650 323
36,36 88 618
37,926 37 204
38,406 128 316
39,39 614 581
40,40 984 957
41,340 975 41
42,42 226 790
43,43 85 308
44,44 347 431
45,45 502 510
46,110 46 247
47,683 543 809
48,48 313 310
49,49 876 302
50,50 639 811
51,51 760 587
52,52 957 264
53,612 92 377
54,405 22 793
55,55 132 628
56,56 329 787
57,57 439 456
58,58 396 219
59,59 843 290
60,60 749 448
61,61 915 306
62,62 462 349
63,63 436 309
64,64 39 613
65,444 333 917
66,66 358 593
67,411 67 800
68,68 423 946
69,69 915 85
70,70 178 689
71,586 320 739
72,72 330 471
73,73 836 612
74,74 677 213
75,700 75 409
76,76 594 749
77,77 989 72
78,421 175 356
79,79 905 20
80,107 834 23
81,68 946 785
82,82 414 676
83,83 236 213
84,84 806 519
85,406 85 24
86,86 482 335
87,87 486 249
88,812 803 451
89,89 237 246
90,90 895 272
91,91 969 374
92,612 92 73
93,93 793 745
94,94 119 777
95,432 95 219
96,96 408 154
97,97 966 338
98,697 675 384
99,99 430 913
100,100 263 193
101,682 931 966
102,908 886 353
103,958 911 444
104,104 958 894
105,105 88 697
106,106 758 838
107,107 23 437
108,723 935 721
109,109 606 765
110,110 846 661
111,111 359 539
112,112 433 76
113,113 364 411
114,114 707 330
115,110 247 115
116,116 257 943
117,117 332 90
118,118 657 132
119,119 777 59
120,228 120 417
121,121 398 348
122,122 943 475
123,51 760 587
124,124 184 711
125,456 125 898
126,425 126 940
127,127 409 4
128,128 663 433
129,363 129 862
130,194 683 382
131,366 952 122
132,140 132 264
133,133 625 640
134,134 907 529
135,135 669 862
136,136 577 315
137,137 165 399
138,82 420 636
139,139 274 467
140,140 267 132
141,943 133 141
142,142 19 177
143,343 965 64
144,144 313 274
145,958 763 433
146,146 212 720
147,147 650 668
148,148 814 749
149,149 477 780
150,150 510 675
151,683 543 809
152,152 431 565
153,32 906 153
154,154 626 349
155,308 228 584
156,156 907 529
157,506 157 447
158,158 801 655
159,533 646 159
160,160 181 642
161,161 827 405
162,162 623 272
163,163 58 604
164,164 6 751
165,205 288 477
166,166 714 317
167,167 495 642
168,815 168 894
169,169 155 353
170,170 711 150
171,441 299 219
172,172 921 638
173,173 602 986
174,263 700 409
175,175 356 421
176,32 906 153
177,177 956 713
178,178 119 59
179,179 553 675
180,180 602 943
181,181 160 642
182,182 183 178
183,183 90 154
184,503 566 758
185,185 178 689
186,977 104 421
187,187 768 433
188,692 838 817
189,189 382 50
190,104 421 175
191,191 436 236
192,192 394 409
193,193 263 700
194,194 251 77
195,195 597 758
196,779 196 981
197,197 658 130
198,366 198 342
199,199 663 666
200,200 264 246
