index,answer
1,1 966 74
2,2 457 879
3,890 3 675
4,542 780 149
5,5 10 82
6,920 710 155
7,7 329 787
8,8 424 899
9,574 9 553
10,10 624 5
11,250 492 125
12,12 195 565
13,984 700 297
14,14 343 652
15,15 429 760
16,16 772 507
17,17 395 33
18,619 18 801
19,715 142 680
20,20 700 747
21,21 943 161
22,22 54 434
23,23 437 404
24,24 870 429
25,25 51 266
26,26 281 566
27,27 734 628
28,293 28 862
29,29 955 570
30,30 787 647
31,31 256 999
32,906 32 176
33,33 957 439
34,928 130 987
35,35 249 218
36,36 95 719
37,926 37 674
38,316 38 984
39,39 434 614
40,40 58 984
41,41 587 970
42,226 42 178
43,43 926 670
44,44 240 522
45,45 802 961
46,46 628 263
47,683 536 382
48,48 114 250
49,49 958 302
50,50 639 587
51,51 123 15
52,52 593 38
53,612 555 92
54,393 470 401
55,55 603 51
56,56 564 642
57,367 497 456
58,58 984 379
59,59 888 894
60,60 549 357
61,61 306 679
62,82 706 62
63,63 430 529
64,64 303 772
65,917 729 589
66,66 358 593
67,67 82 263
68,946 68 825
69,69 628 795
70,70 178 652
71,523 76 571
72,454 234 911
73,73 836 62
74,74 982 886
75,700 75 409
76,76 432 339
77,77 573 431
78,78 445 238
79,79 596 905
80,80 527 729
81,81 946 851
82,82 420 871
83,83 287 632
84,84 519 378
85,85 595 723
86,86 482 335
87,87 620 491
88,976 236 925
89,89 310 690
90,536 623 308
91,91 760 527
92,92 62 351
93,93 793 445
94,94 803 795
95,432 95 440
96,96 162 865
97,97 305 628
98,697 384 865
99,430 57 63
100,193 944 706
101,101 682 931
102,102 908 242
103,103 621 825
104,104 308 162
105,105 523 709
106,106 650 894
107,107 53 886
108,723 220 424
109,109 992 950
110,110 737 578
111,359 111 962
112,112 740 59
113,113 364 111
114,114 492 422
115,115 247 110
116,116 257 740
117,117 840 958
118,118 666 589
119,119 913 595
120,120 117 29
121,121 398 813
122,122 926 625
123,51 652 950
124,124 566 584
125,125 456 191
126,425 126 538
127,127 409 700
128,128 328 145
129,320 129 13
130,197 382 923
131,122 952 131
132,132 140 264
133,133 62 625
134,134 907 175
135,135 583 910
136,136 384 853
137,137 621 273
138,325 811 82
139,139 274 630
140,140 132 264
141,708 701 647
142,142 680 523
143,721 14 965
144,144 274 529
145,538 384 123
146,146 212 125
147,147 650 668
148,148 361 652
149,780 684 477
150,150 176 153
151,809 496 197
152,152 431 565
153,153 906 32
154,111 154 779
155,997 926 155
156,156 429 916
157,157 734 495
158,801 158 18
159,159 795 894
160,160 791 259
161,161 943 12
162,351 229 162
163,163 393 604
164,164 751 411
165,205 165 816
166,166 268 764
167,167 495 308
168,168 965 921
169,169 606 585
170,170 711 833
171,219 526 566
172,172 638 921
173,173 602 986
174,174 263 662
175,175 356 817
176,153 906 32
177,177 312 652
178,178 141 671
179,179 43 535
180,180 569 602
181,181 488 642
182,182 183 783
183,183 195 498
184,503 566 240
185,185 967 800
186,186 104 291
187,187 768 85
188,188 817 144
189,189 492 68
190,495 190 119
191,191 335 520
192,192 721 570
193,706 944 193
194,194 161 642
195,195 972 950
196,779 196 981
197,197 34 130
198,198 128 491
199,199 59 377
200,200 519 804
