index,answer
1,1 454 48
2,2 457 344
3,690 677 3
4,902 149 233
5,5 810 986
6,6 584 164
7,329 787 433
8,8 924 141
9,9 697 574
10,10 849 966
11,438 944 11
12,12 849 966
13,13 943 927
14,14 652 823
15,713 15 399
16,16 739 586
17,17 301 557
18,619 18 263
19,19 943 142
20,905 79 20
21,21 48 279
22,471 22 139
23,23 107 437
24,433 76 545
25,25 713 870
26,26 561 281
27,406 24 970
28,28 293 503
29,29 109 570
30,30 132 106
31,31 806 564
32,906 32 153
33,33 330 155
34,382 987 130
35,650 323 35
36,36 88 838
37,204 926 271
38,406 316 943
39,39 614 581
40,40 957 984
41,340 41 975
42,42 226 557
43,43 308 646
44,44 958 511
45,45 502 559
46,110 115 46
47,47 683 543
48,48 310 136
49,49 876 302
50,50 639 698
51,51 760 587
52,957 52 76
53,377 633 225
54,405 219 621
55,132 55 347
56,56 329 787
57,57 456 442
58,58 219 621
59,59 290 843
60,60 749 403
61,61 915 752
62,62 381 462
63,63 436 309
64,64 39 613
65,444 917 119
66,943 13 66
67,800 185 411
68,68 423 947
69,69 915 85
70,70 109 689
71,586 71 739
72,72 330 471
73,73 836 612
74,677 600 458
75,700 75 409
76,76 594 930
77,77 989 577
78,104 175 356
79,79 905 20
80,107 834 437
81,68 785 939
82,82 414 676
83,83 721 141
84,84 806 378
85,24 406 85
86,692 86 560
87,87 486 156
88,825 812 572
89,89 237 246
90,90 154 566
91,374 969 91
92,612 92 272
93,93 793 263
94,94 119 777
95,95 432 219
96,96 154 90
97,97 849 966
98,697 730 164
99,99 913 430
100,100 263 193
101,849 966 338
102,908 886 447
103,958 511 816
104,958 894 112
105,105 36 246
106,106 758 838
107,107 437 169
108,723 935 684
109,109 689 178
110,110 846 661
111,111 263 18
112,112 433 76
113,113 364 591
114,114 707 48
115,247 110 115
116,943 116 257
117,117 90 332
118,118 657 132
119,119 777 59
120,228 720 417
121,121 398 163
122,122 475 952
123,51 760 587
124,124 184 535
125,456 125 898
126,425 126 231
127,127 944 409
128,128 433 76
129,862 962 293
130,683 130 987
131,952 366 131
132,132 140 348
133,133 554 189
134,134 907 529
135,135 895 669
136,136 577 887
137,165 898 399
138,82 636 138
139,139 274 467
140,140 213 267
141,943 141 13
142,142 680 177
143,343 14 64
144,144 313 436
145,958 433 511
146,146 212 109
147,147 221 668
148,148 814 806
149,149 132 348
150,150 510 154
151,433 76 683
152,152 431 895
153,906 32 153
154,154 90 640
155,228 308 979
156,907 156 529
157,506 106 433
158,158 801 655
159,533 433 76
160,160 181 867
161,161 405 452
162,162 623 272
163,163 58 595
164,164 6 751
165,288 44 503
166,166 714 989
167,495 167 275
168,168 894 820
169,169 355 155
170,170 711 164
171,561 665 526
172,921 172 458
173,173 602 218
174,263 221 802
175,175 356 421
176,906 32 153
177,713 177 731
178,178 119 59
179,553 675 179
180,943 13 180
181,181 160 974
182,182 109 689
183,183 154 90
184,503 566 183
185,109 689 178
186,104 557 175
187,187 433 76
188,692 50 698
189,189 382 577
190,104 175 557
191,191 436 236
192,192 722 314
193,193 263 700
194,194 251 625
195,195 597 888
196,779 196 902
197,197 130 987
198,198 366 342
199,199 663 250
200,200 246 485
